IdTab_file,IdTab,Row,Column,Datapoint,factValue,qOOR
f_00.01,f_00.01,r0010,c0010,dp31870,eba_qAS:qx2004,
f_00.01,f_00.01,r0020,c0010,dp37969,eba_qSC:qx10,
f_01.01,f_01.01,r0010,c0010,dp10898,846825997,
f_01.01,f_01.01,r0020,c0010,dp32358,1036464,
f_01.01,f_01.01,r0030,c0010,dp32237,618487048,
f_01.01,f_01.01,r0040,c0010,dp32244,227302485,
f_01.01,f_01.01,r0050,c0010,dp11110,1292390,
f_01.01,f_01.01,r0060,c0010,dp11108,1292390,
f_01.01,f_01.01,r0096,c0010,dp152736,20218,
f_01.01,f_01.01,r0097,c0010,dp152734,20218,
f_01.01,f_01.01,r0141,c0010,dp152877,394026381,
f_01.01,f_01.01,r0143,c0010,dp152873,394026381,
f_01.01,f_01.01,r0181,c0010,dp152251,464341991,
f_01.01,f_01.01,r0183,c0010,dp152253,464341991,
f_01.01,f_01.01,r0270,c0010,dp32420,25330935,
f_01.01,f_01.01,r0280,c0010,dp11922,25330935,
f_01.01,f_01.01,r0300,c0010,dp32406,43278950,
f_01.01,f_01.01,r0310,c0010,dp32404,38636619,
f_01.01,f_01.01,r0320,c0010,dp32408,4642331,
f_01.01,f_01.01,r0330,c0010,dp32422,14830445,
f_01.01,f_01.01,r0340,c0010,dp32360,3336948,
f_01.01,f_01.01,r0350,c0010,dp113147,11493497,
f_01.01,f_01.01,r0360,c0010,dp32356,12092722,
f_01.01,f_01.01,r0380,c0010,dp32354,1802040027,
f_01.02,f_01.02,r0010,c0010,dp11345,1864457,
f_01.02,f_01.02,r0020,c0010,dp11343,1864457,
f_01.02,f_01.02,r0110,c0010,dp11451,1578004958,
f_01.02,f_01.02,r0120,c0010,dp11447,1548846355,
f_01.02,f_01.02,r0140,c0010,dp11453,29158603,
f_01.02,f_01.02,r0170,c0010,dp32633,5445585,
f_01.02,f_01.02,r0180,c0010,dp113186,2982400,
f_01.02,f_01.02,r0190,c0010,dp32636,2127840,
f_01.02,f_01.02,r0220,c0010,dp152670,22494,
f_01.02,f_01.02,r0230,c0010,dp32642,312850,
f_01.02,f_01.02,r0240,c0010,dp32651,8995227,
