IdTab_file,IdTab,Row,Column,Datapoint,factValue,qOOR
f_00.01,f_00.01,r0010,c0010,dp31870,qAS:qx2004,
f_00.01,f_00.01,r0020,c0010,dp37969,qSC:qx9,
f_01.01,f_01.01,r0010,c0010,dp10898,28854.0,
f_01.01,f_01.01,r0020,c0010,dp32358,6113.0,
f_01.01,f_01.01,r0030,c0010,dp32237,8704.0,
f_01.01,f_01.01,r0040,c0010,dp32244,14037.0,
f_01.01,f_01.01,r0050,c0010,dp11110,38970.0,
f_01.01,f_01.01,r0060,c0010,dp11108,8481.0,
f_01.01,f_01.01,r0070,c0010,dp11112,14968.0,
f_01.01,f_01.01,r0080,c0010,dp11106,11042.0,
f_01.01,f_01.01,r0090,c0010,dp11114,4479.0,
f_01.01,f_01.01,r0096,c0010,dp152736,29494.0,
f_01.01,f_01.01,r0097,c0010,dp152734,10247.0,
f_01.01,f_01.01,r0098,c0010,dp152732,12265.0,
f_01.01,f_01.01,r0099,c0010,dp152738,6982.0,
f_01.01,f_01.01,r0100,c0010,dp10976,11346.0,
f_01.01,f_01.01,r0120,c0010,dp10972,3456.0,
f_01.01,f_01.01,r0130,c0010,dp10978,7890.0,
f_01.01,f_01.01,r0141,c0010,dp152877,137896.0,
f_01.01,f_01.01,r0142,c0010,dp152875,130000.0,
f_01.01,f_01.01,r0143,c0010,dp152873,7000.0,
f_01.01,f_01.01,r0144,c0010,dp152879,896.0,
f_01.01,f_01.01,r0181,c0010,dp152251,1311284.0,
f_01.01,f_01.01,r0182,c0010,dp152247,942563.0,
f_01.01,f_01.01,r0183,c0010,dp152253,368721.0,
f_01.01,f_01.01,r0240,c0010,dp11478,15614.0,
f_01.01,f_01.01,r0250,c0010,dp32402,9557.0,
f_01.01,f_01.01,r0260,c0010,dp11802,11971.0,
f_01.01,f_01.01,r0270,c0010,dp32420,12277.0,
f_01.01,f_01.01,r0280,c0010,dp11922,10340.0,
f_01.01,f_01.01,r0290,c0010,dp11776,1937.0,
f_01.01,f_01.01,r0300,c0010,dp32406,12073.0,
f_01.01,f_01.01,r0310,c0010,dp32404,3160.0,
f_01.01,f_01.01,r0320,c0010,dp32408,8913.0,
f_01.01,f_01.01,r0330,c0010,dp32422,20839.0,
f_01.01,f_01.01,r0340,c0010,dp32360,4402.0,
f_01.01,f_01.01,r0350,c0010,dp113147,16437.0,
f_01.01,f_01.01,r0360,c0010,dp32356,7895.0,
f_01.01,f_01.01,r0370,c0010,dp10903,10356.0,
f_01.01,f_01.01,r0380,c0010,dp32354,1660231.0,
f_01.02,f_01.02,r0010,c0010,dp11345,-18997.0,
f_01.02,f_01.02,r0020,c0010,dp11343,-4089.0,
f_01.02,f_01.02,r0030,c0010,dp11349,-4225.0,
f_01.02,f_01.02,r0040,c0010,dp11341,-8954.0,
f_01.02,f_01.02,r0050,c0010,dp11332,-1387.0,
f_01.02,f_01.02,r0060,c0010,dp11347,-342.0,
f_01.02,f_01.02,r0070,c0010,dp11247,-11288.0,
f_01.02,f_01.02,r0080,c0010,dp11243,-4306.0,
f_01.02,f_01.02,r0090,c0010,dp11233,-3474.0,
f_01.02,f_01.02,r0100,c0010,dp11249,-3508.0,
f_01.02,f_01.02,r0110,c0010,dp11451,-12343.0,
f_01.02,f_01.02,r0120,c0010,dp11447,-6852.0,
