IdTab_file,IdTab,Row,Column,Datapoint,factValue,qOOR
f_00.01,f_00.01,r0010,c0010,dp31870,qAS:qx2005,
f_00.01,f_00.01,r0020,c0010,dp37969,qSC:qx9,
f_01.01,f_01.01,r0010,c0010,dp10898,39421.0,
f_01.01,f_01.01,r0020,c0010,dp32358,788.0,
f_01.01,f_01.01,r0030,c0010,dp32237,19312.0,
f_01.01,f_01.01,r0040,c0010,dp32244,19321.0,
f_01.01,f_01.01,r0050,c0010,dp11110,19053.0,
f_01.01,f_01.01,r0060,c0010,dp11108,309.0,
f_01.01,f_01.01,r0070,c0010,dp11112,3751.0,
f_01.01,f_01.01,r0080,c0010,dp11106,216.0,
f_01.01,f_01.01,r0090,c0010,dp11114,14777.0,
f_01.01,f_01.01,r0091,c0010,dp45921,40982.0,
f_01.01,f_01.01,r0092,c0010,dp45920,4458.0,
f_01.01,f_01.01,r0093,c0010,dp45922,11805.0,
f_01.01,f_01.01,r0094,c0010,dp45919,6529.0,
f_01.01,f_01.01,r0095,c0010,dp45924,18190.0,
f_01.01,f_01.01,r0096,c0010,dp152736,29946.0,
f_01.01,f_01.01,r0097,c0010,dp152734,4289.0,
f_01.01,f_01.01,r0098,c0010,dp152732,5976.0,
f_01.01,f_01.01,r0099,c0010,dp152738,19681.0,
f_01.01,f_01.01,r0100,c0010,dp10976,42447.0,
f_01.01,f_01.01,r0110,c0010,dp10974,16831.0,
f_01.01,f_01.01,r0120,c0010,dp10972,14775.0,
f_01.01,f_01.01,r0130,c0010,dp10978,10841.0,
f_01.01,f_01.01,r0141,c0010,dp152877,30815.0,
f_01.01,f_01.01,r0142,c0010,dp152875,1182.0,
f_01.01,f_01.01,r0143,c0010,dp152873,18872.0,
f_01.01,f_01.01,r0144,c0010,dp152879,10761.0,
f_01.01,f_01.01,r0171,c0010,dp45693,16504.0,
f_01.01,f_01.01,r0172,c0010,dp45691,7134.0,
f_01.01,f_01.01,r0173,c0010,dp45690,224.0,
f_01.01,f_01.01,r0174,c0010,dp45694,9146.0,
f_01.01,f_01.01,r0175,c0010,dp45749,31773.0,
f_01.01,f_01.01,r0176,c0010,dp45747,6191.0,
f_01.01,f_01.01,r0177,c0010,dp45746,16315.0,
f_01.01,f_01.01,r0178,c0010,dp45750,9267.0,
f_01.01,f_01.01,r0181,c0010,dp152251,26301.0,
f_01.01,f_01.01,r0182,c0010,dp152247,16623.0,
